2/16 21:05:22.755  CAST: The Lost begins to cast Soul Rot(51128) on Son of Hakkar.
2/16 21:05:23.569  CAST: Satrell casts Faerie Fire (Feral)(17391)(Rank 3) on Son of Hakkar.
2/16 21:05:23.570  Son of Hakkar is afflicted by Faerie Fire (Feral) (1).
2/16 21:05:24.261  Son of Hakkar attacks. Satrell dodges.
2/16 21:05:24.890  Satrell crits Son of Hakkar for 488.
2/16 21:05:25.006  Your Fire Strike hits Son of Hakkar for 4 Fire damage.
2/16 21:05:25.006  Your Seal of Righteousness hits Son of Hakkar for 95 Holy damage.
2/16 21:05:25.007  Your Fire Strike hits Son of Hakkar for 3 Fire damage. (1 resisted)
2/16 21:05:25.007  Your Divine Strike hits Son of Hakkar for 4 Holy damage.
2/16 21:05:25.007  CAST: Nefras casts Vindication(26017)(Rank 2) on Son of Hakkar.
2/16 21:05:25.007  Your Divine Strike hits Son of Hakkar for 3 Holy damage.
2/16 21:05:25.007  You hit Son of Hakkar for 155.
2/16 21:05:25.007  Son of Hakkar is afflicted by Vindication (1).
2/16 21:05:25.156  CAST: Satrell casts Savage Bite(45736) on Son of Hakkar.
2/16 21:05:25.156  Satrell's Savage Bite hits Son of Hakkar for 262.
2/16 21:05:25.353  CAST: Gustas casts Frostbolt(52663) on Son of Hakkar.
2/16 21:05:25.353  Gustas hits Son of Hakkar for 176.
2/16 21:05:25.668  Gustas's Frostbolt hits Son of Hakkar for 35 Frost damage.
2/16 21:05:25.668  CAST: Nefras casts Crusader Strike(10337)(Rank 5) on Son of Hakkar.
2/16 21:05:25.668  Your Crusader Strike was dodged by Son of Hakkar.
2/16 21:05:25.668  Son of Hakkar is afflicted by Frostbolt (1).
2/16 21:05:25.842  CAST: Satrell casts Swipe(9908)(Rank 5) on Son of Hakkar.
2/16 21:05:25.842  Satrell's Swipe hits Son of Hakkar for 104.
2/16 21:05:26.096  CAST: Gustas casts Deep Wounds(12868)(Rank 3) on Son of Hakkar.
