2/16 20:19:12.982  ZONE_INFO: 16.02.26 20:19:12&zul'gurub&0
2/16 21:05:22.755  UNIT_INFO: 13.12.25 20:12:40&0x000000000001C80A&1&Priests&1&&,10929=1
2/16 21:05:22.755  CAST: 0xF140127B5000002F(The Lost) begins to cast Soul Rot(51128) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:23.569  CAST: 0x0000000000672CE0(Satrell) casts Faerie Fire (Feral)(17391)(Rank 3) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:23.569  UNIT_INFO: 16.02.26 21:05:23&0xF130002C5D00BF8A&0&Son of Hakkar&0&&&60&na&10071
2/16 21:05:23.569  0xF130002C5D00BF8A is afflicted by Faerie Fire (Feral) (1).
2/16 21:05:24.261  0xF130002C5D00BF8A attacks. 0x0000000000672CE0 dodges.
2/16 21:05:24.890  0x0000000000672CE0 crits 0xF130002C5D00BF8A for 488.
2/16 21:05:25.006  Your Fire Strike hits 0xF130002C5D00BF8A for 4 Fire damage.
2/16 21:05:25.006  Your Seal of Righteousness hits 0xF130002C5D00BF8A for 95 Holy damage.
2/16 21:05:25.006  Your Fire Strike hits 0xF130002C5D00BF8A for 3 Fire damage. (1 resisted)
2/16 21:05:25.007  Your Divine Strike hits 0xF130002C5D00BF8A for 4 Holy damage.
2/16 21:05:25.007  CAST: 0x000000000060D9EC(Nefras) casts Vindication(26017)(Rank 2) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:25.007  Your Divine Strike hits 0xF130002C5D00BF8A for 3 Holy damage.
2/16 21:05:25.007  You hit 0xF130002C5D00BF8A for 155.
2/16 21:05:25.007  0xF130002C5D00BF8A is afflicted by Vindication (1).
2/16 21:05:25.156  CAST: 0x0000000000672CE0(Satrell) casts Savage Bite(45736) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:25.156  0x0000000000672CE0's Savage Bite hits 0xF130002C5D00BF8A for 262.
2/16 21:05:25.353  CAST: 0x0000000000426076(Gustas) casts Frostbolt(52663) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:25.353  0x0000000000426076 hits 0xF130002C5D00BF8A for 176.
