# turtle legacy spell compatibility snapshot
# spell_id	field	JSON value
# Values are regenerated with: make update-spell-goldens

# spell 1
1	id	1
1	name	"Word of Recall (OLD)"
1	subtext	"\u003cempty\u003e"
1	school	{"value":0,"string":"Physical"}
1	power.type	{"value":0,"string":"Mana"}
1	power.mana_cost	10
1	power.mana_cost_pct	0
1	power.mana_cost_per_level	0
1	power.mana_per_second	0
1	powers.count	1
1	default_power.type	0
1	default_power.mana_cost	10
1	default_power.mana_cost_pct	0
1	default_power.mana_cost_per_level	0
1	default_power.mana_per_second	0
1	effects.count	3
1	effect.0.index	0
1	effect.0.type	{"value":5,"string":"5"}
1	effect.0.aura	{"value":0,"string":"None"}
1	effect.0.base_points	0
1	effect.0.effective_base_points	1
1	effect.0.misc	[0]
1	effect.0.targets	[1,9]
1	effect.1.index	1
1	effect.1.type	{"value":0,"string":"None"}
1	effect.1.aura	{"value":0,"string":"None"}
1	effect.1.base_points	0
1	effect.1.effective_base_points	1
1	effect.1.misc	[0]
1	effect.1.targets	[0,0]
1	effect.2.index	2
1	effect.2.type	{"value":0,"string":"None"}
1	effect.2.aura	{"value":0,"string":"None"}
1	effect.2.base_points	0
1	effect.2.effective_base_points	1
1	effect.2.misc	[0]
1	effect.2.targets	[0,0]
1	spell_damage_type	0
1	attack_outcome	113
1	is_deprecated	false
1	affects.school.physical	false
1	affects.school.holy	false
1	affects.school.fire	false
1	affects.school.nature	false
1	affects.school.frost	false
1	affects.school.shadow	false
1	affects.school.arcane	false

# spell 10
10	id	10
10	name	"Blizzard"
10	subtext	"Rank 1"
10	school	{"value":8,"string":"Frost"}
10	power.type	{"value":0,"string":"Mana"}
10	power.mana_cost	320
10	power.mana_cost_pct	0
10	power.mana_cost_per_level	0
10	power.mana_per_second	0
10	powers.count	1
10	default_power.type	0
10	default_power.mana_cost	320
10	default_power.mana_cost_pct	0
10	default_power.mana_cost_per_level	0
10	default_power.mana_per_second	0
10	effects.count	3
10	effect.0.index	0
10	effect.0.type	{"value":27,"string":"PersistentAA"}
10	effect.0.aura	{"value":3,"string":"PeriodicDamage"}
10	effect.0.base_points	24
10	effect.0.effective_base_points	25
10	effect.0.misc	[0]
10	effect.0.targets	[28,0]
10	effect.1.index	1
10	effect.1.type	{"value":0,"string":"None"}
10	effect.1.aura	{"value":0,"string":"None"}
10	effect.1.base_points	0
10	effect.1.effective_base_points	1
10	effect.1.misc	[0]
10	effect.1.targets	[0,0]
10	effect.2.index	2
10	effect.2.type	{"value":0,"string":"None"}
